# icount: exact per-call instruction mix by ptrace single-step (segment difference); commit=1dc417cf49-dirty align=16 core=3 batch=0; harness overhead subtracted: 26 instructions per call (empty function: loop, indirect call, ret)
# hash,size,instr,loads,stores,aes,branches,vec_stack_movs,prefetch,rep_iters
# note: lh2k-avx512 4096: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
rapidhash-v3,65536,25838,12304,17,0,300,2,0,0
# note: rapidhash-v3 65536: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
xxh3,65536,7902,1070,5,0,81,22,0,0
# note: xxh3 65536: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
lh2,65536,4988,1040,3,0,141,0,0,0
# note: lh2 65536: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
lh2k-sse2,65536,21610,4487,351,0,135,636,0,0
# note: lh2k-sse2 65536: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
lh2k-avx2,65536,9123,2072,2,0,139,0,0,0
# note: lh2k-avx2 65536: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
lh2k-avx512,65536,4984,1038,3,0,140,0,0,0
# note: lh2k-avx512 65536: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
