# mode=throughput rounds=5 dram=false align=Some(1) counter=RDPRU-APERF pinned=taskset
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples
gxhash,256,10.928,0.026,52.23,23.43,0.06,5
gxhash,1024,14.878,0.015,71.56,68.83,0.07,5
gxhash,4096,19.976,0.009,95.98,205.05,0.09,5
gxhash,65536,21.871,0.001,105.23,2996.52,0.11,5
lanehash,256,9.489,0.002,45.39,26.98,0.01,5
lanehash,1024,16.548,0.014,79.63,61.88,0.05,5
lanehash,4096,23.603,0.018,113.75,173.54,0.14,5
lanehash,65536,27.763,0.605,134.06,2360.54,52.62,5
rapidhash-v3,256,4.048,0.007,19.48,63.24,0.11,5
rapidhash-v3,1024,6.637,0.008,31.91,154.28,0.19,5
rapidhash-v3,4096,8.132,0.005,38.95,503.68,0.34,5
rapidhash-v3,65536,8.614,0.009,41.22,7607.69,7.75,5
xxh3,256,2.538,0.002,12.33,100.88,0.07,5
xxh3,1024,6.956,0.005,33.68,147.20,0.12,5
xxh3,4096,13.001,0.063,62.81,315.05,1.52,5
xxh3,65536,18.145,0.016,87.80,3611.75,3.18,5
